Warszawa Mokotów,1794166
Warszawa Ochota,1794166
Warszawa Praga-Południe,1794166
Warszawa Praga-Północ,1794166
Warszawa Ursynów,1794166
Warszawa Wola,1794166
Warszawa Śródmieście,1794166
Warszawa Żoliborz,1794166
Kraków Dębniki,779966
Kraków Grzegórzki,779966
Kraków Krowodrza,779966
Kraków Podgórze,779966
Kraków Prądnik Biały,779966
Kraków Prądnik Czerwony,779966
Kraków Stare Miasto,779966
Łódź Bałuty,672185
Łódź Górna,672185
Łódź Polesie,672185
Łódź Widzew,672185
Łódź Śródmieście,672185
Wrocław Fabryczna,641928
Wrocław Krzyki,641928
Wrocław Psie Pole,641928
Wrocław Stare Miasto,641928
Wrocław Śródmieście,641928
Poznań Grunwald,532048
Poznań Jeżyce,532048
Poznań Nowe Miasto,532048
Poznań Stare Miasto,532048
Poznań Wilda,532048
Gdańsk,470805
Szczecin,398255
Bydgoszcz,344091
Lublin,338586
Katowice,290553
Białystok Antoniuk,296958
Białystok Białostoczek,296958
Białystok Centrum,296958
Białystok Leśna Dolina,296958
Białystok Nowe Miasto,296958
Białystok Piaski,296958
Białystok Piasta I,296958
Białystok Piasta II,296958
Białystok Przydworcowe,296958
Białystok Sienkiewicza,296958
Białystok Wygoda,296958
Gdynia Chylonia,244969
Gdynia Działki Leśne,244969
Gdynia Kamienna Góra,244969
Gdynia Karwiny,244969
Gdynia Oksywie,244969
Gdynia Orłowo,244969
Gdynia Wielki Kack,244969
Gdynia Śródmieście,244969
Częstochowa Częstochówka - Parkitka,217530
Częstochowa Lisiniec,217530
Częstochowa Podjasnogórska,217530
Częstochowa Północ,217530
Częstochowa Stare Miasto,217530
Częstochowa Trzech Wieszczów,217530
Częstochowa Tysiąclecie,217530
Częstochowa Wrzosowiak,217530
Częstochowa Wyczerpy - Aniołó,217530w
Częstochowa Śródmieście,217530
Radom,209296
Toruń,198613
Rzeszów,197863
Sosnowiec,197586
Kielce,193415
Gliwice,177049
Olsztyn,171249
Zabrze,170924
Bielsko-Biała,169756
Bytom,163255
Zielona Góra,140892
Rybnik,137128
Ruda Śląska,136423
Opole,127839
Tychy,126871
Gorzów Wielkopolski,122589
Elbląg,118582
Dąbrowa Górnicza,118285
Płock,118268
Wałbrzych,109971
Włocławek,108561
Tarnów,107498
Chorzów,106846
Koszalin,106235
Kalisz,99106
Legnica,98436
Grudziądz,93564
Jaworzno,90368
Słupsk,89780
Jastrzębie-Zdrój,88038
Nowy Sącz,83558
Jelenia Góra,78335
Siedlce,77813
Mysłowice,74559
Konin,72539
Piła,72527
Piotrków Trybunalski,72250
Lubin,71710
Inowrocław,71674
Ostrów Wielkopolski,71560
Suwałki,69639
Stargard,67579
Gniezno,67570
Ostrowiec Świętokrzyski,67404
Siemianowice Śląskie,66270
Głogów,66120
Pabianice,63945
Leszno,62854
Żory,62844
Zamość,62785
Pruszków,62623
Łomża,62573
Ełk,61903
Tarnowskie Góry,61756
Tomaszów Mazowiecki,61338
Chełm,61135
Mielec,60075
Kędzierzyn-Koźle,60021
Przemyśl,59779
Stalowa Wola,59623
Tczew,59430
Biała Podlaska,56942
Bełchatów,56419
Świdnica,56222
Będzin,56008
Zgierz,55673
Piekary Śląskie,54702
Racibórz,54259
Legionowo,53529
Ostrołęka,51656
Rumia,49536
Świętochłowice,49108
Wejherowo,49099
Zawiercie,48703
Piaseczno,48670
Skierniewice,47655
Starachowice,47638
Wodzisław Śląski,47576
Starogard Gdański,47272
Puławy,46965
Tarnobrzeg,46360
Kołobrzeg,46198
Krosno,45948
Radomsko,45353
Dębica,45189
Otwock,44317
Skarżysko-Kamienna,44260
Ciechanów,43883
Nysa,43356
Kutno,43332
Sieradz,41390
Zduńska Wola,41288
Mikołów,41003
Świnoujście,40948
Mińsk Mazowiecki,40916
Szczecinek,39827
Chojnice,39647
Żyrardów,39550
Świdnik,38763
Ząbki,38546
Bolesławiec,38486
Kwidzyn,38329
Nowa Sól,38191
Malbork,38101
Knurów,37801
Oświęcim,37569
Jarosław,37073
Żary,37052
Sanok,36999
Oleśnica,36979
Wołomin,36848
Marki,36816
Chrzanów,36118
Sochaczew,35891
Czechowice-Dziedzice,35839
Sopot,35286
Brzeg,35226
Lębork,35101
Olkusz,34757
Jasło,34542
Cieszyn,33981
Kraśnik,33917
Nowy Targ,33257
Iława,33206
Oława,33087
Dzierżoniów,32869
Ostróda,32714
Grodzisk Mazowiecki,32452
Police,32243
Luboń,32015
Pruszcz Gdański,31578
Myszków,31261
Mława,31129
Czeladź,31039
Września,31000
Żywiec,30733
Augustów,29946
Swarzędz,29862
Zgorzelec,29810
Bochnia,29554
Bielawa,29523
Łuków,29441
Śrem,29176
Giżycko,28964
Brodnica,28701
Krotoszyn,28701
Nowy Dwór Mazowiecki,28691
Łowicz,27896
Czerwionka-Leszczyny,27888
Wyszków,26980
Gorlice,26973
Zakopane,26846
Kętrzyn,26788
Reda,26707
Jarocin,26453
Turek,26441
Kłodzko,26421
Biłgoraj,26114
Pszczyna,25702
Wągrowiec,25607
Świecie,25486
Żagań,25265
Kobyłka,25149
Bielsk Podlaski,25044
Wałcz,24949
Skawina,24366
Wieliczka,24215
Białogard,23950
Kościerzyna,23778
Kościan,23716
Środa Wielkopolska,23672
Lubliniec,23551
Kluczbork,23254
Sandomierz,22997
Bartoszyce,22984
Szczytno,22813
Świebodzice,22642
Piastów,22559
Jawor,22462
Polkowice,22435
Ostrów Mazowiecka,22216
Łaziska Górne,22130
Goleniów,21979
Płońsk,21924
Zambrów,21921
Wieluń,21892
Aleksandrów Łódzki,21754
Grajewo,21709
Nowa Ruda,21643
Lubartów,21636
Świebodzin,21550
Rydułtowy,21385
Mrągowo,21302
Orzesze,21290
Koło,21247
Działdowo,21145
Gryfino,20923
Opoczno,20746
Józefów,20741
Lubań,20723
Prudnik,20671
Hajnówka,20265
Gostyń,20250
Rawicz,20187
